id,total_comments,total_replies_received
@BabidiCharmoso,0,0
@fernandomendes6126,1,2
@elmasterplus_3086,0,0
@pplutoblox,0,0
@leticiaqueiroz7491,1,0
@milenavalenca5512,1,0
@SimaraRegiaLima,1,0
@canaldavovofrancisca7967,1,0
@amandal.5947,1,0
@Avelinaaguirrecontato,1,0
@Rafa-us4lr,1,0
@Valememari,1,0
@Minaj_ricca-lds,1,4
@nijordy882,0,0
@Abel-tt3mc,0,0
@PatyCruz.,7,1
@VemoVemo-nj7pd,1,0
@gilaflama,1,0
@izolde7,1,0
@RodrigoCardoso-i5t,1,0
@otavio-y9j,1,0
@JssM-z3z,1,0
@GilmaraBatista-r5m,1,0
@klaytondaniel,1,0
@JoãoPedro-y2x7g,1,0
@Luiz_xxn-i2k,1,0
@AntôniaFranciscaDaschagas,1,0
@SussuPlay,1,3
@Crentebahiano,0,0
@Angel-ls4ul,1,0
@rodrigo9ugfy,1,0
@MarcioTuber_84,1,0
@LauraRomere,1,0
@renan_nzn3577,1,0
@andersonbelchior990,1,0
